elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,l3_cache_misses
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::HeapSort,0,0,0.0,0.0,1184560537.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,498707577.0,11947745794.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,134964400.0,3417680404.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::RandomWiggle,0,0,0.0,2576759165.0,1669367344.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::HeapSort,0,0,0.0,0.0,1173759539.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,433281802.0,11611834977.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,137753148.0,3289800954.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::RandomWiggle,0,0,0.0,2577203757.0,1799464919.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::HeapSort,0,0,0.0,0.0,838860800.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,406942974.0,8619138017.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,124411842.0,2437860859.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::LinearScan>",33554432,bench::workloads::RandomWiggle,0,0,0.0,2007041572.0,1155663895.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::HeapSort,0,0,0.0,0.0,1194445039.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,1835488187.0,12061468639.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,543328511.0,3392214289.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::RandomWiggle,0,0,0.0,653043347.0,1669553674.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::HeapSort,0,0,0.0,0.0,1139338115.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,1760901912.0,11575494888.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,519529161.0,3291416753.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 3, false, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::RandomWiggle,0,0,0.0,656218164.0,1848470939.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::HeapSort,0,0,0.0,0.0,838860800.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,1670097607.0,8683214609.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::MonotoneWiggle,0,0,0.0,493745374.0,2438154554.0,0.0,0.0,0.0,0.0
i64,"bench::scalar_quickheap::ScalarQuickHeap<i64, 1, true, bench::scalar_quickheap::Search::BinarySearch>",33554432,bench::workloads::RandomWiggle,0,0,0.0,639689841.0,1112522750.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::HeapSort,0,0,0.0,836716435.0,211634889.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneConstantSize,0,0,0.0,8687842241.0,2711785792.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::MonotoneWiggle,0,0,0.0,2555394922.0,666317947.0,0.0,0.0,0.0,0.0
i64,bench::sequence_heap::SequenceHeapI64,33554432,bench::workloads::RandomWiggle,0,0,0.0,1622823178.0,814026486.0,0.0,0.0,0.0,0.0
