heap,graph,workload,vertices,edges,push_count,pop_count,repeat,nanos
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,7116605,7116605,0,638478026.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,7116605,7116605,1,624992121.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,7116605,7116605,2,636219738.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,20656031,20656031,0,1847517153.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,20656031,20656031,1,1851522535.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,20656031,20656031,2,1847511144.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,15021215,15021215,0,1722565865.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,15021215,15021215,1,1719828699.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,15021215,15021215,2,1722510230.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,17146248,17146248,0,2303537862.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,17146248,17146248,1,2309510089.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,17146248,17146248,2,2305825556.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,21051546,21051546,0,2479851302.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,21051546,21051546,1,2480038958.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,21051546,21051546,2,2477398087.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,21713534,21713534,0,2723608420.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,21713534,21713534,1,2739735474.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,21713534,21713534,2,2722574690.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,27951438,27951438,0,3014535172.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,27951438,27951438,1,3020459948.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,27951438,27951438,2,3023157183.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,79867445,79867445,0,8433388958.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,79867445,79867445,1,8317335259.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,79867445,79867445,2,8317807324.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,1765860,1765860,0,123154040.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,1765860,1765860,1,122696005.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,1765860,1765860,2,122566378.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,5153176,5153176,0,384572932.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,5153176,5153176,1,376501357.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,5153176,5153176,2,375452555.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,2037969,2037969,0,199799588.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,2037969,2037969,1,199321222.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,2037969,2037969,2,199984999.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,2328871,2328871,0,214505907.0
"quickheap::ConfigurableSimdQuickHeap<u64, quickheap::simd::Avx2>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,2328871,2328871,1,221965141.0
