elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",1024,bench::workloads::MonotoneConstantSize,10240,0,277021.0,0.0,0.0,0.0,0.0,1469.0,12370.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",1024,bench::workloads::MonotoneConstantSize,10240,1,277241.0,0.0,0.0,0.0,0.0,430.0,11570.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",1024,bench::workloads::MonotoneConstantSize,10240,2,269269.0,0.0,0.0,0.0,0.0,921.0,10246.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",32768,bench::workloads::MonotoneConstantSize,327680,0,9502948.0,0.0,0.0,0.0,0.0,32169.0,1054565.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",32768,bench::workloads::MonotoneConstantSize,327680,1,9255622.0,0.0,0.0,0.0,0.0,25439.0,1039477.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",32768,bench::workloads::MonotoneConstantSize,327680,2,9758807.0,0.0,0.0,0.0,0.0,27643.0,1048917.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",1048576,bench::workloads::MonotoneConstantSize,10485760,0,335943539.0,0.0,0.0,0.0,0.0,866707.0,78072951.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",1048576,bench::workloads::MonotoneConstantSize,10485760,1,339048927.0,0.0,0.0,0.0,0.0,985915.0,77359153.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",1048576,bench::workloads::MonotoneConstantSize,10485760,2,341493431.0,0.0,0.0,0.0,0.0,938786.0,80957581.0,0.0
i64,"quickheap::ConfigurableSimdQuickHeap<i64, quickheap::simd::Avx2>",33554432,bench::workloads::MonotoneConstantSize,335544320,0,12145215876.0,0.0,0.0,0.0,0.0,32657724.0,3738771508.0,0.0
