elem,heap,n,workload,repeat,nanos,comparisons,branch_misses,l1_cache_misses,hw_cache_misses,l3_cache_misses
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::HeapSort,0,38541.0,11125.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::HeapSort,1,37167.0,11206.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::HeapSort,2,34333.0,11186.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::ConstantSize,0,33959.0,12164.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::ConstantSize,1,30292.0,12042.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::ConstantSize,2,30208.0,12083.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::Decreasing,0,27417.0,13860.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::Decreasing,1,26709.0,13860.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,1024,quickheap::workloads::Decreasing,2,25375.0,13860.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::HeapSort,0,69583.0,24521.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::HeapSort,1,63375.0,24510.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::HeapSort,2,64375.0,24563.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::ConstantSize,0,69000.0,26322.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::ConstantSize,1,63417.0,26252.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::ConstantSize,2,60083.0,26186.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::Decreasing,0,55917.0,31764.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::Decreasing,1,50833.0,31764.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,2048,quickheap::workloads::Decreasing,2,50875.0,31764.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::HeapSort,0,139083.0,53177.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::HeapSort,1,135833.0,53139.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::HeapSort,2,181416.0,53162.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::ConstantSize,0,389292.0,56514.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::ConstantSize,1,368000.0,56503.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::ConstantSize,2,308875.0,56315.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::Decreasing,0,271625.0,71724.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::Decreasing,1,268292.0,71724.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,4096,quickheap::workloads::Decreasing,2,269625.0,71724.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::HeapSort,0,677167.0,114431.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::HeapSort,1,691583.0,114362.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::HeapSort,2,683250.0,114439.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::ConstantSize,0,669375.0,121098.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::ConstantSize,1,677916.0,121251.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::ConstantSize,2,655250.0,120981.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::Decreasing,0,523292.0,159768.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::Decreasing,1,506792.0,159768.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,8192,quickheap::workloads::Decreasing,2,503209.0,159768.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::HeapSort,0,1213084.0,245889.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::HeapSort,1,1210917.0,245488.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::HeapSort,2,1193083.0,245877.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::ConstantSize,0,1038292.0,258126.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::ConstantSize,1,1050584.0,258286.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::ConstantSize,2,1036041.0,257990.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::Decreasing,0,892708.0,352308.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::Decreasing,1,843542.0,352308.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,16384,quickheap::workloads::Decreasing,2,828958.0,352308.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::HeapSort,0,1990958.0,523425.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::HeapSort,1,1877042.0,523726.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::HeapSort,2,1748000.0,524178.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::ConstantSize,0,1748625.0,548696.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::ConstantSize,1,1570792.0,548796.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::ConstantSize,2,1558500.0,548368.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::Decreasing,0,1394208.0,770076.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::Decreasing,1,1382458.0,770076.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,32768,quickheap::workloads::Decreasing,2,1292083.0,770076.0,0.0,0.0,0.0,0.0
i32,alloc::collections::binary_heap::BinaryHeap<core::cmp::Reverse<i32>>,65536,quickheap::workloads::HeapSort,0,2986000.0,1113228.0,0.0,0.0,0.0,0.0
